SKU,image_name
new-bay-seafood-alhambra,new-bay-seafood-alhambra
new-port-seafood-san-gabriel,new-port-seafood-san-gabriel
tin-tin-restaurant-rosemead,tin-tin-restaurant-rosemead
fu-shing-chinese-restaurant-pasadena,fu-shing-chinese-restaurant-pasadena
sea-harbour-seafood-restaurant-rosemead,sea-harbour-seafood-restaurant-rosemead
green-zone-san-gabriel,green-zone-san-gabriel
eagle-rock-green-dragon-los-angeles,eagle-rock-green-dragon-los-angeles
grandview-palace-pasadena,grandview-palace-pasadena
yang-chow-los-angeles,yang-chow-los-angeles
har-lam-kee-restaurant-monterey-park,har-lam-kee-restaurant-monterey-park
seafood-village-restaurant-temple-city,seafood-village-restaurant-temple-city
happy-family-restaurant-monterey-park-2,happy-family-restaurant-monterey-park-2
mamas-lu-dumpling-house-monterey-park-4,mamas-lu-dumpling-house-monterey-park-4
new-moon-restaurant-san-marino,new-moon-restaurant-san-marino
may-mei-restaurant-arcadia,may-mei-restaurant-arcadia
elite-restaurant-monterey-park,elite-restaurant-monterey-park
din-tai-fung-arcadia-5,din-tai-fung-arcadia-5
tasty-noodle-house-san-gabriel,tasty-noodle-house-san-gabriel
ming-yuen-el-monte,ming-yuen-el-monte
young-king-los-angeles,young-king-los-angeles
the-palace-los-angeles-2,the-palace-los-angeles-2
master-chef-restaurant-los-angeles,master-chef-restaurant-los-angeles
green-apple-china-bistro-studio-city,green-apple-china-bistro-studio-city
peking-restaurant-downey,peking-restaurant-downey
full-house-seafood-restaurant-los-angeles-3,full-house-seafood-restaurant-los-angeles-3
sea-dragon-chinese-restaurant-los-angeles,sea-dragon-chinese-restaurant-los-angeles
new-dragon-seafood-restaurant-los-angeles,new-dragon-seafood-restaurant-los-angeles
house-of-joy-chinese-restaurant-glendale,house-of-joy-chinese-restaurant-glendale
new-moon-montrose,new-moon-montrose
bamboo-cuisine-sherman-oaks,bamboo-cuisine-sherman-oaks
tams-garden-chinese-restaurant-los-angeles,tams-garden-chinese-restaurant-los-angeles
dragon-palace-santa-monica,dragon-palace-santa-monica
green-apple-china-bistro-studio-city,green-apple-china-bistro-studio-city
gourmet-88-burbank-burbank,gourmet-88-burbank-burbank
frontier-wok-too-burbank,frontier-wok-too-burbank
joy-feast-burbank,joy-feast-burbank
great-wok-burbank,great-wok-burbank
house-of-joy-chinese-restaurant-la-crescenta,house-of-joy-chinese-restaurant-la-crescenta
fortune-inn-glendale,fortune-inn-glendale
peking-china-glendale,peking-china-glendale
century-dragon-burbank-2,century-dragon-burbank-2
rice-wok-studio-city,rice-wok-studio-city
hong-kong-kitchen-glendale,hong-kong-kitchen-glendale
chi-dynasty-los-angeles,chi-dynasty-los-angeles
chens-chinese-restaurant-long-beach,chens-chinese-restaurant-long-beach
wa-wa-restaurant-long-beach-3,wa-wa-restaurant-long-beach-3
yummy-garden-long-beach,yummy-garden-long-beach
p-f-changs-china-bistro-long-beach,p-f-changs-china-bistro-long-beach
nomad-asian-bistro-long-beach,nomad-asian-bistro-long-beach
jj-chinese-express-long-beach,jj-chinese-express-long-beach
hak-heang-restaurant-long-beach,hak-heang-restaurant-long-beach
new-china-express-long-beach,new-china-express-long-beach
le-yen-chinese-family-restaurant-long-beach,le-yen-chinese-family-restaurant-long-beach
wokcano-long-beach,wokcano-long-beach
the-forbidden-city-long-beach,the-forbidden-city-long-beach
l-v-chinese-seafood-restaurant-long-beach,l-v-chinese-seafood-restaurant-long-beach
lucky-china-restaurant-carson,lucky-china-restaurant-carson
dragon-sea-bbq-restaurant-long-beach,dragon-sea-bbq-restaurant-long-beach
asian-chef-long-beach,asian-chef-long-beach
terris-kitchen-long-beach,terris-kitchen-long-beach
panda-garden-long-beach,panda-garden-long-beach
chinese-gourmet-signal-hill,chinese-gourmet-signal-hill
golden-phoenix-lakewood,golden-phoenix-lakewood
chinese-king-long-beach,chinese-king-long-beach
genwa-korean-bbq-los-angeles-2,genwa-korean-bbq-los-angeles-2
seongbukdong-los-angeles,seongbukdong-los-angeles
soowon-galbi-kbbq-restaurant-los-angeles-2,soowon-galbi-kbbq-restaurant-los-angeles-2
kang-hodong-baekjeong-los-angeles,kang-hodong-baekjeong-los-angeles
jun-won-restaurant-los-angeles,jun-won-restaurant-los-angeles
ham-ji-park-los-angeles-2,ham-ji-park-los-angeles-2
kims-kitchen-glendale,kims-kitchen-glendale
a-ri-rang-tofu-house-san-gabriel,a-ri-rang-tofu-house-san-gabriel
chunju-han-il-kwan-los-angeles,chunju-han-il-kwan-los-angeles
hae-jang-chon-korean-bbq-restaurant-los-angeles,hae-jang-chon-korean-bbq-restaurant-los-angeles
western-doma-noodles-los-angeles,western-doma-noodles-los-angeles
kobawoo-house-los-angeles,kobawoo-house-los-angeles
hong-galbi-los-angeles,hong-galbi-los-angeles
chung-ki-wa-los-angeles,chung-ki-wa-los-angeles
seoul-korean-bbq-burbank,seoul-korean-bbq-burbank
cham-korean-bistro-pasadena,cham-korean-bistro-pasadena
mapo-kkak-doo-gee-restaurant-los-angeles,mapo-kkak-doo-gee-restaurant-los-angeles
dong-ii-jang-restaurant-los-angeles,dong-ii-jang-restaurant-los-angeles
road-to-seoul-los-angeles,road-to-seoul-los-angeles
gang-nam-tofu-los-angeles,gang-nam-tofu-los-angeles
casa-de-vida-apartments-los-angeles-2,casa-de-vida-apartments-los-angeles-2
pasadena-gateway-villas-pasadena,pasadena-gateway-villas-pasadena
1111-wilshire-los-angeles-2,1111-wilshire-los-angeles-2
kenwood-mews-apartments-burbank-2,kenwood-mews-apartments-burbank-2
the-bungalows-on-madison-pasadena,the-bungalows-on-madison-pasadena
palm-court-apartments-los-angeles,palm-court-apartments-los-angeles
westgate-apartments-pasadena-3,westgate-apartments-pasadena-3
the-plaza-apartments-valley-village-3,the-plaza-apartments-valley-village-3
the-lorenzo-los-angeles,the-lorenzo-los-angeles
laguna-del-rey-playa-del-rey,laguna-del-rey-playa-del-rey
the-palazzo-communities-los-angeles,the-palazzo-communities-los-angeles
sunset-and-vine-los-angeles,sunset-and-vine-los-angeles
the-ventana-apartments-playa-vista,the-ventana-apartments-playa-vista
pacific-place-apartments-los-angeles,pacific-place-apartments-los-angeles
centrepointe-apartments-los-angeles,centrepointe-apartments-los-angeles
metro-417-los-angeles,metro-417-los-angeles
